340282366920938463463374607431768211456 126 67374164064983152969244536522838575481
time	0	n	1	l	291559185850253556523962232174388834693	0.276124
time	0	n	2	l	307904906368866347157905336816361262933	0.477852
time	0	n	4	l	219652555793223477297954503039373515021	0.522696
time	0	n	26	l	47911926785926317195551232345839228705	0.525823
time	0	n	43	l	217130659156821665835817425468575992325	0.557328
time	1	n	101	l	89576588778619886266518302442988471213	0.566062
time	2	n	132	l	185929912380579714138753911961384075433	0.575696
time	5	n	318	l	130615880284175639724402368626370008397	0.577816
time	7	n	423	l	231529392271673263345913892466969233113	0.578091
time	10	n	535	l	143852511327336836574753468336560175433	0.578592
time	13	n	696	l	9634483964683357935915915375308894857	0.5901
time	29	n	1575	l	61898784820978940718151725459548295781	0.606381
time	58	n	3132	l	339348286189448503890043755196534317693	0.612474
time	177	n	9333	l	5300396998125232097063821574443757541	0.61289
time	212	n	11190	l	121637935566323606862614182390030515129	0.615094
time	240	n	12648	l	193005058534171703606789086001197915761	0.62898
time	1049	n	55487	l	123014954171952323182022270005632071497	0.631865
time	1069	n	56571	l	270622243429375485659189505394017399637	0.634214
time	1886	l	270622243429375485659189505394017399637	0.634214
