==============================================================
Modulus:      		340282366920938463463374607431768211456
Multiplikator:		44629693204054986313095191502463994785
Multipler hex:		0x21935dc2e417e661_5a3a5a07fd848ba1
Dimension bis:		36
Using Cohn & Elkies Constants
==============================================================
[k]	[dim]	[n_spect]	

2	0.962287
3	0.818201
4	0.68846
5	0.655436
6	0.711905
7	0.643323
8	0.688294
9	0.661566
10	0.710326
11	0.687556
12	0.657663
13	0.706041
14	0.654526
15	0.671928
16	0.707617
17	0.721228
18	0.709158
19	0.680396
20	0.710878
21	0.65805
22	0.707268
23	0.699827
24	0.809337
25	0.658437
26	0.743944
27	0.738264
28	0.856635
29	0.736576
30	0.856097
31	0.971191
32	0.889379
33	0.921051
34	1.09714
35	1.12869
36	0.960076

Time [s]:	0
