340282366920938463463374607431768211456 126 58413326468144243989327351653074543246
time	0	n	1	l	116085709684610569360817381675469751801	0.416407
time	0	n	7	l	231754804141237233499154598831351246681	0.424188
time	0	n	9	l	175191283284368920579035240294000310673	0.484733
time	0	n	16	l	316822868581471033754091557636771868233	0.539709
time	1	n	81	l	13551814468830775016238865052173815293	0.552503
time	2	n	104	l	83317222698850641617032572313394943393	0.553775
time	3	n	155	l	27540185625344745901212678748175815521	0.593043
time	7	n	405	l	170340467498823654322043350969498738761	0.61326
time	80	n	3932	l	83925815383859776389121815571174907865	0.616989
time	96	n	4696	l	321685591738156783574322473259747835665	0.61999
time	131	n	6390	l	130651490231233524031645568573866747077	0.623519
time	244	n	11703	l	313027436609243669678350023199039371641	0.635348
time	2140	l	313027436609243669678350023199039371641	0.635348
